student_name,persistente,competente,observador,score_total,history,final_performance
alumno1,13.0,13.0,14.0,40.0,"[40.0, 40.0, 40.0, 40.0]",
alumno2,249.0,193.0,147.0,21.0,"[21.0, 21.0, 21.0, 21.0]",
alumno3,405.0,343.0,195.0,19.0,"[19.0, 19.0, 19.0, 19.0]",
alumno4,522.0,443.0,310.0,17.0,"[17.0, 17.0, 17.0, 17.0]",
alumno5,536.0,435.0,312.0,19.0,"[19.0, 19.0, 19.0, 19.0]",
alumno6,697.0,586.0,438.0,22.0,"[22.0, 22.0, 22.0, 22.0]",
alumno7,453.0,389.0,312.0,20.0,"[20.0, 20.0, 20.0, 20.0]",
alumno8,721.0,611.0,469.0,22.0,"[22.0, 22.0, 22.0, 22.0]",
alumno9,420.0,351.0,284.0,14.0,"[14.0, 14.0, 14.0, 14.0]",
alumno10,415.0,319.0,266.0,10.0,"[10.0, 10.0, 10.0, 10.0]",
alumno11,248.0,219.0,140.0,21.0,"[21.0, 21.0, 21.0, 21.0]",
alumno12,69.0,69.0,59.0,17.0,"[17.0, 17.0, 17.0, 17.0]",
alumno13,170.0,121.0,95.0,18.0,"[18.0, 18.0, 18.0, 18.0]",
alumno14,363.0,294.0,204.0,26.0,"[26.0, 26.0, 26.0, 26.0]",
alumno15,179.0,164.0,93.0,20.0,"[20.0, 20.0, 20.0, 20.0]",
alumno16,245.0,227.0,158.0,22.0,"[22.0, 22.0, 22.0, 22.0]",
alumno17,587.0,479.0,397.0,18.0,"[18.0, 18.0, 18.0, 18.0]",
alumno18,658.0,603.0,353.0,22.0,"[22.0, 22.0, 22.0, 22.0]",
alumno19,212.0,181.0,151.0,17.0,"[17.0, 17.0, 17.0, 17.0]",
alumno20,286.0,236.0,146.0,23.0,"[23.0, 23.0, 23.0, 23.0]",
alumno21,256.0,219.0,170.0,17.0,"[17.0, 17.0, 17.0, 17.0]",
alumno22,143.0,117.0,77.0,21.0,"[21.0, 21.0, 21.0, 21.0]",
alumno23,342.0,271.0,193.0,24.0,"[24.0, 24.0, 24.0, 24.0]",
alumno24,299.0,263.0,189.0,27.0,"[27.0, 27.0, 27.0, 27.0]",
alumno25,173.0,131.0,108.0,27.0,"[27.0, 27.0, 27.0, 27.0]",
alumno26,279.0,236.0,155.0,25.0,"[25.0, 25.0, 25.0, 25.0]",
alumno27,237.0,188.0,123.0,20.0,"[20.0, 20.0, 20.0, 20.0]",
alumno28,257.0,215.0,151.0,19.0,"[19.0, 19.0, 19.0, 19.0]",
alumno29,328.0,261.0,184.0,20.0,"[20.0, 20.0, 20.0, 20.0]",
alumno30,524.0,431.0,298.0,26.0,"[26.0, 26.0, 26.0, 26.0]",
alumno31,412.0,335.0,253.0,24.0,"[24.0, 24.0, 24.0, 24.0]",
alumno32,236.0,193.0,97.0,20.0,"[20.0, 20.0, 20.0, 20.0]",
alumno33,480.0,371.0,301.0,22.0,"[22.0, 22.0, 22.0, 22.0]",
alumno34,346.0,302.0,234.0,26.0,"[26.0, 26.0, 26.0, 26.0]",
alumno35,365.0,285.0,204.0,19.0,"[19.0, 19.0, 19.0, 19.0]",
alumno36,628.0,511.0,366.0,24.0,"[24.0, 24.0, 24.0, 24.0]",
alumno37,399.0,300.0,231.0,20.0,"[20.0, 20.0, 20.0, 20.0]",
alumno38,292.0,227.0,173.0,20.0,"[20.0, 20.0, 20.0, 20.0]",
alumno39,350.0,268.0,200.0,18.0,"[18.0, 18.0, 18.0, 18.0]",
alumno40,122.0,87.0,82.0,24.0,"[24.0, 24.0, 24.0, 24.0]",
alumno41,137.0,114.0,89.0,11.0,"[11.0, 11.0, 11.0, 11.0]",
alumno42,210.0,178.0,137.0,20.0,"[20.0, 20.0, 20.0, 20.0]",
alumno43,608.0,505.0,365.0,24.0,"[24.0, 24.0, 24.0, 24.0]",
alumno44,1020.0,858.0,593.0,17.0,"[17.0, 17.0, 17.0, 17.0]",
alumno45,244.0,214.0,154.0,18.0,"[18.0, 18.0, 18.0, 18.0]",
alumno46,580.0,489.0,361.0,21.0,"[21.0, 21.0, 21.0, 21.0]",
alumno47,646.0,599.0,398.0,23.0,"[23.0, 23.0, 23.0, 23.0]",
alumno48,805.0,710.0,547.0,23.0,"[23.0, 23.0, 23.0, 23.0]",
alumno49,393.0,359.0,279.0,17.0,"[17.0, 17.0, 17.0, 17.0]",
alumno50,215.0,170.0,128.0,9.0,"[9.0, 9.0, 9.0, 9.0]",
alumno51,353.0,307.0,223.0,19.0,"[19.0, 19.0, 19.0, 19.0]",
alumno52,451.0,399.0,309.0,24.0,"[24.0, 24.0, 24.0, 24.0]",
alumno53,399.0,311.0,248.0,15.0,"[15.0, 15.0, 15.0, 15.0]",
alumno54,232.0,190.0,117.0,19.0,"[19.0, 19.0, 19.0, 19.0]",
alumno55,696.0,620.0,437.0,27.0,"[27.0, 27.0, 27.0, 27.0]",
